"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cost-Based Application Placement Optimization for Integrated Energy System using Docker","N. Xiong; P. Yang; H. Li; Q. Wang","GuiAn Power Supply Bureau of Guizhou Power Grid Co., Ltd, Guiyang, China; GuiAn Power Supply Bureau of Guizhou Power Grid Co., Ltd, Guiyang, China; Guangzhou Smart Energy Technology Co., Ltd, Guangzhou, China; Guangzhou Smart Energy Technology Co., Ltd, Guangzhou, China",2021 IEEE 4th International Electrical and Energy Conference (CIEEC),"17 Aug 2021","2021","","","1","5","In the integrated energy system (IES), distributed energy, flexible load and electric vehicle are widely involved in the energy production, consumption and other aspects of the power system, which makes it an important issue to optimize the deployment of energy management application. Therefore, this paper proposes cost-based application placement method using computing resource containers based on Docker technology, which can effectively reduce the deployment cost of application placement in IES. We first characterize the task components and their connections in energy management application. According to the architecture of physical machine using Docker, we construct the operation model including computation model and communication model Besides, to evaluate the application placement schemes, we propose a cost-based evaluation metrics considering the cost caused by task execution and data transmission. Simulation verifies the rationality and effectiveness of our proposed method.","","978-1-7281-7149-4","10.1109/CIEEC50170.2021.9510988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9510988","IES;Cost;Docker;Task components;Operation model;Application placement schemes","Computational modeling;System performance;Layout;Production;Data models;Power systems;Data communication","","","","16","IEEE","17 Aug 2021","","","IEEE","IEEE Conferences"
"A Comprehensive Experimentation Framework for Energy-Efficient Design of Cloud-Native Applications","S. Werner; M. C. Borges; K. Wolf; S. Tai","Information Systems Engineering, Technische Universität Berlin, Berlin, Germany; Information Systems Engineering, Technische Universität Berlin, Berlin, Germany; Information Systems Engineering, Technische Universität Berlin, Berlin, Germany; Information Systems Engineering, Technische Universität Berlin, Berlin, Germany",2025 IEEE 22nd International Conference on Software Architecture (ICSA),"30 Apr 2025","2025","","","176","186","Current approaches to designing energy-efficient applications typically rely on measuring individual components using readily available local metrics, like CPU utilization. However, these metrics fall short when applied to cloud-native applications, which operate within the multi-tenant, shared environments of distributed cloud providers. Assessing and optimizing the energy efficiency of cloud-native applications requires consideration of the complex, layered nature of modern cloud stacks.To address this need, we present a comprehensive, automated, and extensible experimentation framework that enables developers to measure energy efficiency across all relevant layers of a cloud-based application and evaluate associated quality trade-offs. Our framework integrates a suite of service quality and sustainability metrics, providing compatibility with any Kubernetes-based application. We demonstrate the feasibility and effectiveness of this approach through initial experimental results, comparing architectural design alternatives for a widely used open-source cloud-native application.","2835-7043","979-8-3315-2090-8","10.1109/ICSA65012.2025.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10978924","Cloud-Computing;Sustainable and Quality Engineering;Experiment-driven Software Design","Measurement;Software design;Software architecture;Current measurement;Energy measurement;Energy efficiency;Sustainable development","","1","","30","IEEE","30 Apr 2025","","","IEEE","IEEE Conferences"
"Application-Independent DVFS Method Based on OS Metrics Monitoring for Cloud Servers","H. Noguchi; M. Kaneko","NTT Network Innovation Center, NTT Corporation, Musashino-shi, Tokyo, Japan; NTT Network Innovation Center, NTT Corporation, Musashino-shi, Tokyo, Japan","2024 International Conference on Communications, Computing, Cybersecurity, and Informatics (CCCI)","5 Nov 2024","2024","","","1","6","This paper proposes a Dynamic Voltage and Frequency Scaling (DVFS) method for cloud servers that is application-independent and minimally impacts performance. As cloud computing continues expanding, power saving of its servers is one of the most critical issues. Prior power-saving methods through scheduling and configuration optimization based on application characteristics are promising. However, these methods are not suitable for use on cloud servers. Since server administrators and application operators differ in cloud computing, server administrators do not have knowledge of individual applications. On the other hand, the application operator has no control over much of the configuration of the server machine. For these characteristics of cloud servers, Linux CPUfreq governor, one of the de facto implementations of DVFS, is a promising technology because it uses only generic information: CPU usage. However, our preliminary experiments showed that the Linux CPUfreq governor significantly degrades performance in specific system configurations. This paper proposes a DVFS method that suppresses performance degradation by detecting it by monitoring metrics obtained from the operating system while using existing CPUfreq governors. A significant advantage of our method is that it can be applied to cloud servers without requiring application-specific implementation or configuration. Experiments with a web server running on a container showed that the proposed method balances power savings and application performance. It reduced CPU power consumption by up to 3.8% while degrading throughput by less than 0.2% compared to the case where the frequency is fixed at maximum in a configuration where a pure CPUfreq governor significantly degrades performance.","","979-8-3503-4983-2","10.1109/CCCI61916.2024.10736461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10736461","power saving;DVFS;CPUfreq governor;cloud computing","Degradation;Cloud computing;Power demand;Linux;Market research;Web servers;Frequency estimation;Servers;Monitoring;Frequency control","","1","","21","IEEE","5 Nov 2024","","","IEEE","IEEE Conferences"
"Energy-Aware Scheduling in Cloud-Native Environment","S. K. Tesfatsion; O. Gorbatov; X. Cai","Ericsson Research, Stockholm, Sweden; Ericsson Research, Luleå, Sweden; Ericsson Research, Stockholm, Sweden","2025 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","17 Oct 2025","2025","","","1","6","Energy efficiency is becoming increasingly important for sustainability. In a cloud-native environment, orchestration platforms such as Kubernetes can significantly impact the overall energy performance of applications as they manage their lifecycle, including scheduling. Kubernetes, specifically as a de facto cloud platform, has a default scheduler that does not account for energy consumption in its decision-making process, highlighting the need to explore mechanisms that can improve the energy performance of deployed applications. In this paper, we present an energy-aware scheduling mechanism within Kubernetes to optimize the energy usage of cloud-native applications while meeting other scheduling requirements and constraints. This approach extends the scheduling logic in Kubernetes through plugins that integrate energy metrics and employ Machine Learning-based power estimation for energy-optimized decision-making. The evaluation of the proposed approach shows up to 12 % energy savings with minimal performance degradation. When complemented by other consolidation techniques, it could potentially lead to substantial savings ranging from 21 % to 65 %, depending on the system load in the scenario analyzed. Importantly, this method does not introduce significant overhead.","1847-358X","978-953-290-143-6","10.23919/SoftCOM66362.2025.11197392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11197392","energy-efficiency;scheduling;Machine Learning;Power Modeling;Kubernetes scheduling plugins","Processor scheduling;Decision making;Estimation;Machine learning;Energy efficiency;Software;Telecommunications;Logic;Sustainable development;Load modeling","","","","19","","17 Oct 2025","","","IEEE","IEEE Conferences"
"A New Infrastructure Elasticity Control Algorithm for Containerized Cloud","W. A. Hanafy; A. E. Mohamed; S. A. Salem","Department of Electronics, Communications, and Computers, Helwan University, Helwan, Egypt; Department of Electronics, Communications, and Computers, Helwan University, Helwan, Egypt; Department of Electronics, Communications, and Computers, Helwan University, Helwan, Egypt",IEEE Access,"3 Apr 2019","2019","7","","39731","39741","In the last decade, containers have become a superior alternative to hypervisor-based virtualization. Containerization has revolutionized data centers from being an infrastructure-oriented to be application oriented. Modern cloud consumption patterns such as flash crowds require a certain amount of elasticity that is realized with controlling the amount of provisioned resources autonomously. Cloud elasticity is significant as it influences the performance of utilized resources, service level commitment, and power consumption. In this paper, an infrastructure elasticity control algorithm for a containerized cloud is proposed. The proposed algorithm augments the load balancing criterion with elasticity control. Several experiments with various metrics are carried out to examine the performance of the proposed algorithm. The results demonstrate the superiority of the proposed algorithm and the effects of elasticity across various measures.","2169-3536","","10.1109/ACCESS.2019.2907171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673752","Containers;cloud computing;elasticity control;containers migration;load balancing","Containers;Elasticity;Cloud computing;Load management;Virtualization;Computational modeling;File systems","","15","","25","OAPA","25 Mar 2019","","","IEEE","IEEE Journals"
"Scalable and Adaptive Multi-Access Edge Computing: a Dynamic Classification and Containerization Framework","M. AlMuharif; S. Sankaranarayanan; P. Lorenz","Computer Science Department, CCSIT, King Faisal University, Alhassa, Saudi Arabia; Computer Science Department, CCSIT, King Faisal University, Alhassa, Saudi Arabia; University of Haute Alsace, Colmar, France","2025 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","17 Oct 2025","2025","","","1","7","Multi-Access Edge Computing (MEC) has emerged as a critical enabler of next-generation communications by addressing challenges such as latency, resource constraints, and workload distribution. However, the diversity of connected devices and their varying operational requirements necessitate adaptive frameworks to fulfill MEC's potential and to surpass conventional Edge, Fog, and Cloud paradigms. While the European Telecommunications Standards Institute (ETSI) has defined a core MEC architecture and provided relevant guidelines, there remains a significant gap in mechanisms that can dynamically pre-classify devices and assign them to suitable compute layers based on real-time operational characteristics such as latency sensitivity, power consumption, and task complexity. We propose a device preclassification, grouping, and decision-aware containerization framework designed to enhance task orchestration and runtime efficiency. Devices are classified at the edge based on latency, energy profile, and computational load, enabling task grouping and resource-aware deployment. A feedback loop between the MEC platform and compute layer ensures continuous optimization of task placement, while MEC Federation supports cross-domain scalability and failover. Through simulationbased evaluation, our framework achieved up to 30% reduction in latency, 35% decrease in RAM usage, 30% lower CPU consumption, and notable energy efficiency gains compared to traditional paradigms. These results demonstrate the scalability and adaptability of our framework in supporting ultra-reliable, low-latency applications across heterogeneous environment.","1847-358X","978-953-290-143-6","10.23919/SoftCOM66362.2025.11197463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11197463","ETSI;MEC;Edge;Fog;Cloud;Containerization","Multi-access edge computing;Sensitivity;Runtime;Power demand;Scalability;ETSI;Random access memory;Software;Real-time systems;Telecommunications","","","","18","","17 Oct 2025","","","IEEE","IEEE Conferences"
"HyPPO: Hybrid Performance-Aware Power-Capping Orchestrator","M. Arnaboldi; R. Brondolin; M. D. Santambrogio","Politecnico di Milano, Milano, Italy; Politecnico di Milano, Milano, Italy; Politecnico di Milano, Milano, Italy",2018 IEEE International Conference on Autonomic Computing (ICAC),"21 Oct 2018","2018","","","71","80","The following topics are dealt with: cloud computing; resource allocation; optimisation; Internet; computer centres; quality of service; learning (artificial intelligence); energy conservation; power aware computing; virtual machines.","2474-0756","978-1-5386-5139-1","10.1109/ICAC.2018.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498128","Autonomic power management;ODA;Container orchestration","Power demand;Monitoring;Containers;Servers;Cloud computing;Hybrid power systems;Task analysis","","7","","23","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Decentralized Home Computing Network: Leveraging IaaS, PaaS, and SaaS for Passive Income Generation with Kubernetes Clusters","R. R. R; T. S","Department of Computer Applications, PES University, Bangalore, India; Department of Computer Applications, PES University, Bangalore, India","2024 Third International Conference on Electrical, Electronics, Information and Communication Technologies (ICEEICT)","23 Oct 2024","2024","","","1","6","The Home Computing Network (HCN) presents a fundamental transformation in computing infrastructure. It addresses longstanding inefficiencies in the conventional models like under utilization of computer resources. Motivated by the need to mitigate these and other issues of centralized systems, this paper proposes a robust Kubernetes-based decentralized network. This paper also proposes a way to generate income while alleviating problems of the traditional model. This proposal integrates distributed computing mechanisms to fully utilize idle computational power, enabling individuals and enterprises to generate passive income. Through experimental results and performance metrics, the paper demonstrates HCN’s efficacy in optimizing resource utilization, scalability, and task orchestration. Additionally, the compatibility with containerization platforms like Docker expands its applicability across various scenarios.","","979-8-3503-6908-3","10.1109/ICEEICT61591.2024.10718427","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718427","Home computing network;Kubernetes;Docker;Passive Income;Infrastructure as a Service;Platform as a Service;Software as a Service","Home computing;Computational modeling;Biological system modeling;Scalability;Computer architecture;Green computing;Throughput;Hardware;Time measurement;Resource management","","","","14","IEEE","23 Oct 2024","","","IEEE","IEEE Conferences"
"PRESTO: a latency-aware power-capping orchestrator for cloud-native microservices","R. Brondolin; M. D. Santambrogio","Politecnico di Milano, DEIB, Milano, IT; Politecnico di Milano, DEIB, Milano, IT",2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS),"15 Sep 2020","2020","","","11","20","Power consumption is a major concern for cloud data-centers. In this context, cloud-native applications emerged in the last few years and fostered the adoption of the cloud computing model across many organizations. Cloud-native workloads are highly heterogeneous, co-located and latency-sensitive and are able to scale to a high number of machines. To properly manage their power consumption, within this paper we propose Power REgulator for Service Time Optimization (PRESTO), a latency-aware power-capping orchestrator. PRESTO defines an Observe Decide Act (ODA) loop to manage power consumption and average latency of microservice-based workloads by considering all the network interactions between microservices in the cluster. PRESTO reduces the power consumption by 37.13% on average with a control error that is below 12.5% and below 1.5ms on average w.r.t. an unconstrained execution.","","978-1-7281-7277-4","10.1109/ACSOS49614.2020.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9196364","Autonomic power management;Latency awareness;Container orchestration","Servers;Power demand;Cloud computing;Monitoring;Measurement;Containers;Instruments","","4","","29","IEEE","15 Sep 2020","","","IEEE","IEEE Conferences"
"Containerized Deployment of Secure LLM Workflows in Multi-Cloud Infrastructures","J. P. Mohan; P. Ranganathan","School of Electrical Engineering and Computer Science (SEECS), University of North Dakota; School of Electrical Engineering and Computer Science (SEECS), University of North Dakota",2025 IEEE Cloud Summit,"13 Aug 2025","2025","","","130","136","This paper presents a secure and scalable framework for deploying Large Language Models (LLMs) across multi-cloud platforms using containerization technologies. The framework implements a dual-container architecture comprising a data_service container for Distributed Energy Resource (DER) data processing, aggregation, and the llm_service container that orchestrates multiple LLM providers, including GPT, Claude, Gemini and Llama. Leveraging tools such as Docker, Kubernetes, FASTAPI, and multi-cloud authentication, the framework addresses the key challenges related to security, interoperability and performance in distributed environments. The data_service container processes DER data at a configurable interval and integrates GPT models for energy pattern analysis and optimization recommendations. The llm_service container provides multi-model AI gateway functionality with dynamic load balancing and comprehensive performance monitoring across cloud providers. Security implementation includes container security scan, API security testing, network, and runtime security. Performance results show the GPT model for the analysis achieving 14.21% CPU usage and 1302.16 MB memory consumption. Google Cloud Platform provides optimal cost efficiency up to 16.4 % per analysis, compared to Amazon Web Services (AWS) and Microsoft Azure. The framework validates successful multi-cloud deployment across AWS, GCP, and Azure while maintaining enterprise-grade security.","","979-8-3315-2362-6","10.1109/Cloud-Summit64795.2025.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11108207","large language models;containers;multi-cloud;deployment;API endpoints","Analytical models;Web services;Large language models;System performance;Time series analysis;Containers;Stability analysis;Distributed power generation;Security;Load modeling","","","","16","IEEE","13 Aug 2025","","","IEEE","IEEE Conferences"
"Anomaly Detection and Root Cause Analysis of Microservices Energy Consumption","M. S. Floroiu; S. Russo; L. Giamattei; A. Guerriero; I. Malavolta; R. Pietrantuono","Vrije Universiteit, Amsterdam, The Netherlands; Università di Napoli Federico II, Italy; Università di Napoli Federico II, Italy; Università di Napoli Federico II, Italy; Vrije Universiteit, Amsterdam, The Netherlands; Università di Napoli Federico II, Italy",2024 IEEE International Conference on Web Services (ICWS),"15 Oct 2024","2024","","","590","600","With the expansion of cloud computing and data centers, the need has arisen to tackle their environmental impact. The increasing adoption of microservice architectures, while offering scalability and flexibility, poses new challenges in the effective management of systems’ energy consumption.This study analyzes experimentally the effectiveness, with respect to energy consumption, of algorithms for Anomaly Detection (AD) and Root Cause Analysis (RCA) for (containerized) microservices systems. The study analyzes five AD and three RCA algorithms. Metrics to assess the effectiveness of AD algorithms are Precision, Recall, and F-Score. For RCA algorithms, the chose metric is Precision at level k. Two subjects of different complexity are used: Sock Shop and UNI-Cloud. Experiments use a cross-over paired comparison design, involving multiple randomized runs for robust measures.The experiments show that AD algorithms exhibit a relatively moderate performance. The mean adjusted Precision for Sock Shop is 61.5%, while it is 75% for the best-performing algorithms (BIRCH, KNN, and SVM) on UNI-Cloud. The Recall and F-Score for UNI-Cloud, for the same algorithms, are 75%, while for Sock Shop KNN yields the best outcome at roughly 45%. MicroRCA and RCD emerge as the top-performing algorithms for RCA.We found that the effectiveness of AD algorithms is strongly influenced by anomaly thresholds, emphasizing the importance of careful tuning such algorithms. RCA algorithms reveal promising results, particularly RCD and MicroRCA, which showed robust performance. However, challenges remain, as seen with the ϵ-diagnosis algorithm, suggesting the need for further refinement.For DevOps engineers, the findings highlight the need to carefully select and tune AD and RCA algorithms for energy, and to take into account system topology and monitoring configurations.","2836-3868","979-8-3503-6855-0","10.1109/ICWS62655.2024.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707452","Microservices;Energy consumption;Anomaly Detection;Root Cause Analysis","Measurement;Energy consumption;Root cause analysis;Web services;Software algorithms;Microservice architectures;Nearest neighbor methods;Topology;Anomaly detection;Tuning","","4","","39","IEEE","15 Oct 2024","","","IEEE","IEEE Conferences"
"An Analysis of Cloud Cost Optimization Using Machine Learning","D. Bansal; P. Singh; A. Singh","University Institute of Engineering, Chandigarh University, Mohali, Punjab, India; University Institute of Engineering, Chandigarh University, Mohali, Punjab, India; University Institute of Engg.(AIT-CSE), Chandigarh University, Mohali, Punjab, India",2025 International Conference on Data Science and Business Systems (ICDSBS),"20 Jun 2025","2025","","","1","6","Cloud cost always remains a major concern for organizations and individuals. To reduce a major chunk of cost, various machine learning algorithms could be adopted for predictive resource scalability. That would also help in the elimination of underutilization and overutilization of resources. It would also facilitate workload prediction to minimize energy consumption, reduce costs, effectively allocate resources, and provide high-quality services. It also strives for cost optimization by resource management that could be achieved through containerization, multi-resource management, and job scheduling. Over the years, machine learning (ML) has evolved as a powerful tool for automation approaches, providing autoscaling features. A new approach to cloud resource management optimization and prediction capability employs a hybrid solution which combines LSTM neural networks with reinforcement learning methods. Estimating resource requirements by analyzing historical data and automating scaling decisions. This paper provides a gist of how machine learning approaches could overcome the cost challenges by optimizing resource allocation based on real-time needs and reducing unused capacity.","","979-8-3315-8560-0","10.1109/ICDSBS63635.2025.11031644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11031644","Cost Optimization;Cloud Computing;Predictive Resource Scaling;Machine Learning;Resource Management;Automation;AutoScaling;Workload Prediction;LSTM","Cloud computing;Costs;Automation;Scalability;Organizations;Reinforcement learning;Scheduling;Resource management;Optimization;Long short term memory","","","","15","IEEE","20 Jun 2025","","","IEEE","IEEE Conferences"
"Implementation of GPU Scheduling Method for Kubernetes","H. Li; M. Xu; Z. Li; Y. Wang","College of Information Science and Engineering, Ocean University of China, QingDao, China; College of Information Science and Engineering, Ocean University of China, QingDao, China; College of Information Science and Engineering, Ocean University of China, QingDao, China; College of Information Science and Engineering, Ocean University of China, QingDao, China",2023 IEEE 7th Conference on Energy Internet and Energy System Integration (EI2),"9 May 2024","2023","","","2152","2156","Kubernetes is an open-source system used for automating the deployment, scaling, and management of containerized applications, and is a core component of the Power Cloud platform. The default scheduling mechanism in Kubernetes primarily evaluates node scores based on CPU and memory utilization. While this approach assesses the resource consumption of nodes, it fails to incorporate multidimensional metrics for evaluating nodes and adapting to the complexity of GPU resources. Consequently, it fails to ensure appropriate GPU resource allocation for specific workloads within the Power Cloud platform. To address the complexity and high-stability requirements of the Power Cloud platform, this study proposes a GPU resource scheduling scheme based on Prometheus. This scheme utilizes Prometheus as a data collection tool to gather multidimensional metrics such as GPU usage, disk utilization, and network traffic across nodes in the cluster, using these metrics as additional scoring criteria. Experimental results demonstrate that the proposed scheduler outperforms the default scheduler, achieving better resource allocation and load balancing.","","979-8-3503-4509-4","10.1109/EI259745.2023.10512963","National Natural Science Foundation of China(grant numbers:61827810); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10512963","Kubernetes;GPU;prometheus;power Cloud","Measurement;Cloud computing;Schedules;Graphics processing units;Telecommunication traffic;System integration;Load management","","","","19","IEEE","9 May 2024","","","IEEE","IEEE Conferences"
"Bridging the Benchmarking Gap: Performance Evaluation of Popular Kubernates-Based Orchestration Frameworks","P. Sathish; S. R. Avula; D. B U; A. G. Bhat","Department of Master of Computer Applications, Nitte, Meenakshi Institute of Technology, Bengaluru, India; Department of Master of Computer Applications, Nitte, Meenakshi Institute of Technology, Bengaluru, India; Department of Master of Computer Applications, Nitte, Meenakshi Institute of Technology, Bengaluru, India; Department of Master of Computer Applications, Nitte, Meenakshi Institute of Technology, Bengaluru, India",2025 International Conference on Computing Technologies & Data Communication (ICCTDC),"22 Sep 2025","2025","","","1","5","Kubernetes has emerged as the leading container orchestration platform for cloud-native application development. This study compares and contrasts the performance of some popular Kubernetes-based frameworks in terms of deployment efficiency, resource utilization, scalability, and fault tolerance, namely OpenShift, Rancher, GKE, AKS, and EKS. The performance was evaluated on real-world workloads across uniform environments with consistent configurations of applications. It uses the performance metrics from Prometheus, Grafana, and Apache JMeter, then makes quantitative analyses and statistical comparisons. The results clearly demonstrate the strengths and weaknesses of the frameworks, giving developers and enterprises actionable insights on optimizing their deployments in the cloud-native setup. This paper helps bridge gaps in previous studies regarding benchmarks through comprehensive reviews that are made toward a selection based on choosing the right framework that best fits to use with the solution for advanced acceptance and exploitation in modern ecosystems.","","979-8-3315-2798-3","10.1109/ICCTDC64446.2025.11159041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11159041","Kubernetes;Cloud-Native Frameworks;Performance Benchmarking;Resource Utilization;Fault Tolerance","Fault tolerance;Statistical analysis;Reviews;Scalability;Fault tolerant systems;Ecosystems;Benchmark testing;Performance metrics;Resource management;Data communication","","","","14","IEEE","22 Sep 2025","","","IEEE","IEEE Conferences"
"Autoscaling Pods on an On-Premise Kubernetes Infrastructure QoS-Aware","L. M. Ruíz; P. P. Pueyo; J. Mateo-Fornés; J. V. Mayoral; F. S. Tehàs","Department of Computer Science and INSPIRES, University of Lleida, Lleida, Spain; Department of Computer Science and INSPIRES, University of Lleida, Lleida, Spain; Department of Computer Science and INSPIRES, University of Lleida, Lleida, Spain; Department of Computer Science and INSPIRES, University of Lleida, Lleida, Spain; Department of Computer Science and INSPIRES, University of Lleida, Lleida, Spain",IEEE Access,"30 Mar 2022","2022","10","","33083","33094","Cloud systems and microservices are becoming powerful tools for businesses. The evidence of the advantages of offering infrastructure, hardware or software as a service (IaaS, PaaS, SaaS) is overwhelming. Microservices and decoupled applications are increasingly popular. These architectures, based on containers, have facilitated the efficient development of complex SaaS applications. A big challenge is to manage and design microservices with a massive range of different facilities, from processing and data storage to computing predictive and prescriptive analytics. Computing providers are mainly based on data centers formed of massive and heterogeneous virtualized systems, which are continuously growing and diversifying over time. Moreover, these systems require integrating into current systems while meeting the Quality of Service (QoS) constraints. The primary purpose of this work is to present an on-premise architecture based on Kubernetes and Docker containers aimed at improving QoS regarding resource usage and service level objectives (SLOs). The main contribution of this proposal is its dynamic autoscaling capabilities to adjust system resources to the current workload while improving QoS.","2169-3536","","10.1109/ACCESS.2022.3158743","Intelligent Energy Europe (IEE) program and the Ministerio de Economía y Competitividad(grant numbers:PID2020-113614RB-C22); MCIN/AEI/10.1H6 network TIN2016-81840-REDT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9732997","Cloud;microservices;Kubernetes;SLO;QoS","Quality of service;Containers;Cloud computing;Monitoring;Measurement;Microservice architectures;Computer architecture","","17","","36","CCBY","10 Mar 2022","","","IEEE","IEEE Journals"
"On Energy-aware and Verifiable Benchmarking of Big Data Processing targeting AI Pipelines","G. Theodorou; S. Karagiorgou; C. Kotronis","UBITECH Ltd, Limassol, Cyprus; UBITECH Ltd, Limassol, Cyprus; UBITECH Ltd, Limassol, Cyprus",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","3788","3798","As Artificial Intelligence (AI) is revolutionizing various industries and applications, understanding the hardware requirements and energy consumption of AI pipelines in Big Data (BD) applications has become increasingly essential. This paper presents a comprehensive, scalable framework, designed to systematically measure hardware resources, energy usage, and model performance across two prominent data modalities: tabular data and images. The framework is generalizable, facilitating replicability across the AI research community, and encourages the deployment of AI models with comprehensive metrics beyond traditional accuracy, promoting the optimization of pipelines for real-world scenarios. Through detailed benchmarking, we identify EfficientNet as a standout model for image classification, and XGBoost for tabular data, both excelling in their respective domains. Notably, our findings show that Graphics Processing Units (GPUs) account for approximately 90% of total energy consumption in image-based tasks, while Central Processing Units (CPUs) are responsible for around 50% of energy use in tabular data processing. The merit of our innovative proposed framework combines information theory and probability theory to enhance our understanding of AI model performance in Edge-to-Cloud (E2C) applications that demand efficient Big Data processing in distributed environments. By seamlessly integrating energy efficiency with hardware optimization, it enables realtime monitoring of energy consumption and computing resources in containerized environments, providing precise insights for optimizing AI workloads. This framework facilitates scalable AI deployment on resource-constrained edge devices, reducing energy consumption while enhancing AI model robustness and interpretability, thereby promoting greater trust and transparency in AI-powered decision-making for critical real-world applications. This emphasizes the importance of multi-objective optimization for more sustainable and efficient Big Data AI workflows.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10826014","Horizon Europe; European Defence Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10826014","Big Data AI pipelines’ benchmarking;AI theoretical framework for edge-to-cloud applications;energy-aware AI pipelines for optimal model placement","Energy consumption;Analytical models;Accuracy;Pipelines;Big Data;Benchmark testing;Data models;Hardware;Artificial intelligence;Monitoring","","1","","41","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Workload Prediction over Cloud Server using Time Series Data","M. P. Yadav; N. Pal; D. K. Yadav","Computer Science and Engineering, MNNIT Allahabad, Prayagraj, India; Computer Science and Engineering, MNNIT Allahabad, Prayagraj, India; Computer Science and Engineering, MNNIT Allahabad, Prayagraj, India","2021 11th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","15 Mar 2021","2021","","","267","272","Analyzing and interpreting the real time data is a challenging task for cloud analysts (e.g. cloud providers) in cur-rent scenario for allocating computing resources in applications. Availability of a massive amount of data for processing over a server, cloud providers use the time series analysis models to analyze it. Based on the analysis, cloud providers allocate cloud resources (e.g., container machines) to manage the workload. Predictive analysis of data is important to identify the future trends and it also enables cloud organizations to act as per the demand of workload. It can be applied in different areas such as stock prices prediction, weather forecasting, and traffic load over the server (cloud computing). Cloud providers use this predictive analysis to avoid different types of losses such as services unavailability, maximum energy consumption and customer's loss. One of the methods to do predictive analysis using time series data is long short-term memory (LSTM). This paper presents a predictive analysis of time series forecasting using deep learning method (LSTM) to predict the future load over servers. The prediction accuracy of LSTM has been measured using three metrics -RMSE, MSE and MAE.","","978-1-6654-1451-7","10.1109/Confluence51648.2021.9377032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377032","Cloud Computing;Elasticity;Auto-scaling;Time Series Data;ARIMA;LSTM","Cloud computing;Time series analysis;Weather forecasting;Telecommunication traffic;Servers;Predictive analytics;Task analysis","","18","","23","IEEE","15 Mar 2021","","","IEEE","IEEE Conferences"
