"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Singh, A.K.; Saxena, D.; Lindenstruth, V.","Singh, Ashutosh Kumar (57212846086); Saxena, Deepika (57189319379); Lindenstruth, Volker (55031708600)","57212846086; 57189319379; 55031708600","REE-TM: Reliable and Energy-Efficient Traffic Management Model for Diverse Cloud Workloads","2025","IEEE Transactions on Cloud Computing","13","3","","953","968","0","10.1109/TCC.2025.3581697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008915732&doi=10.1109%2FTCC.2025.3581697&partnerID=40&md5=d4eca044f9fbe101eb4b13f009a529c2","Diversity of workload demands lays a critical impact on efficient resource allocation and management of cloud services. The existing literature has either weakly considered or overlooked the heterogeneous feature of job requests received from wide range of internet services users. To address this context, the proposed approach named Reliable and Energy Efficient Traffic Management (REE-TM) has exploited the diversity of internet traffic in terms of variation in resource demands and expected complexity. Specifically, REE-TM incorporates categorization of heterogeneous job requests and executes them by selecting the most admissible virtual node (a software-defined instance such as a virtual machine or container) and physical node (an actual hardware server or compute host) within the cloud infrastructure. To deal with resource-contention-based resource failures and performance degradation, a novel workload estimator ‘Toffoli Gate-based Quantum Neural Network’ (TG-QNN) is proposed, wherein learning process or interconnection weights optimization is achieved using Quantum version of BlackHole (QBHO) algorithm. The proactively estimated workload is used to compute entropy of the upcoming internet traffic with various traffic states analysis for detection of probable resource-congestion. REE-TM is extensively evaluated through simulations using a benchmark dataset and compared with optimal and without REE-TM versions. The performance evaluation and comparison of REE-TM with measured significant metrics reveal its effectiveness in assuring higher reliability by up to 30.25% and energy-efficiency by up to 23% as compared without REE-TM. © 2013 IEEE.","energy-efficiency; Internet services; physical nodes; resource utilization; virtual nodes","Cloud computing; Green computing; Resource allocation; Traffic congestion; Efficient resource allocation; Energy; Energy efficient; Internet traffic; Internet-services; Management Model; Physical nodes; Resources utilizations; Traffic management; Virtual node; Energy efficiency","Article","Final","","Scopus","2-s2.0-105008915732"
"Werner, S.; Borges, M.C.; Wolf, K.; Tai, S.","Werner, Sebastian (56354164400); Borges, Maria C. (57215309343); Wolf, Karl (57216289009); Tai, Stefan (7102829484)","56354164400; 57215309343; 57216289009; 7102829484","A Comprehensive Experimentation Framework for Energy-Efficient Design of Cloud-Native Applications","2025","","","","","176","186","2","10.1109/ICSA65012.2025.00026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005027472&doi=10.1109%2FICSA65012.2025.00026&partnerID=40&md5=e81f16b44efabd09fc9cd0ebec4120d0","Current approaches to designing energy-efficient applications typically rely on measuring individual components using readily available local metrics, like CPU utilization. However, these metrics fall short when applied to cloud-native applications, which operate within the multi-tenant, shared environments of distributed cloud providers. Assessing and optimizing the energy efficiency of cloud-native applications requires consideration of the complex, layered nature of modern cloud stacks.To address this need, we present a comprehensive, automated, and extensible experimentation framework that enables developers to measure energy efficiency across all relevant layers of a cloud-based application and evaluate associated quality trade-offs. Our framework integrates a suite of service quality and sustainability metrics, providing compatibility with any Kubernetes-based application. We demonstrate the feasibility and effectiveness of this approach through initial experimental results, comparing architectural design alternatives for a widely used open-source cloud-native application. © 2025 IEEE.","Cloud-Computing; Experiment-driven Software Design; Sustainable and Quality Engineering","Electronic design automation; Enterprise software; Open source software; Software quality; 'current; Cloud-computing; CPU utilization; Energy; Energy efficient; Energy-efficient design; Experiment-driven software design; Individual components; Quality engineering; Sustainable engineering; Software design","Conference paper","Final","","Scopus","2-s2.0-105005027472"
"Arzo, S.T.; Scotece, D.; Bassoli, R.; Devetsikiotis, M.; Foschini, L.; Fitzek, F.H.P.","Arzo, Sisay Tadesse (55979134900); Scotece, Domenico (57201698918); Bassoli, Riccardo (55598393900); Devetsikiotis, Michael (35598790300); Foschini, Luca (7004212533); Fitzek, Frank H. P. (9434654200)","55979134900; 57201698918; 55598393900; 35598790300; 7004212533; 9434654200","Softwarized and containerized microservices-based network management analysis with MSN","2024","Computer Networks","254","","110750","","","4","10.1016/j.comnet.2024.110750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202591450&doi=10.1016%2Fj.comnet.2024.110750&partnerID=40&md5=867df86fdceefe040615fdc0c434b428","Microservice architecture is a service-oriented paradigm that enables the decomposition of cumbersome monolithic-based software systems. Using microservice design principles, it is possible to develop flexible, scalable, reusable, and loosely coupled software that could be containerized and deployed in a distributed edge/cloud environment. The flexible deployment of microservices in an edge environment increases system performance in terms due to dynamic service function placement and chaining possibly resulting in latency reduction, fault tolerance, scalability, efficient resource utilization, cost reduction, and energy consumption reduction. On the other hand, virtualization and containerization of microservices add processing and communication overheads. Therefore, to evaluate end-to-end microservices-based system performance, we need to have an end-to-end mathematical formulation of the overall microservice-based network system. Incorporating the virtualization overhead, here we provide end-to-end mathematical formulation considering system parameters: latency, throughput, computational resource usage, and energy consumption. We then evaluate the formulation in a testbed environment with the Microservice-based SDN (MSN) framework that decomposes the Software-defined Networking (SDN) controller in microservices with Docker Container. The final result validates the presented mathematical modeling of the system's dynamic behavior which can be used to design a microservice-based system. © 2024 The Author(s)","5G; 6G; Beyond 5G; Cloudification; Containerization; Microservice","Computer software reusability; Network function virtualization; Scalability; Service oriented architecture (SOA); 5g; 6g; Beyond 5g; Cloudification; Containerization; End to end; Energy-consumption; Microservice; Systems performance; Virtualizations; 5G mobile communication systems","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85202591450"
"Bhukya, S.; Goud, P.S.; Yuvraj, K.; Harin, G.K.","Bhukya, Sreedhar (37074008700); Goud, P. Suraj (59449107100); Yuvraj, K. (59449107200); Harin, Goud K. (59449537200)","37074008700; 59449107100; 59449107200; 59449537200","A Deep Reinforcement Learning Framework for Optimized Container Scheduling and Load Balancing","2024","International Research Journal of Multidisciplinary Technovation","6","6","","182","196","1","10.54392/irjmt24614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210549685&doi=10.54392%2Firjmt24614&partnerID=40&md5=12ab127f85d00b677bdf6cb004ee3659","Unlike VMs, containerization is a modern method for packaging and deploying software in distributed environments like the cloud. Containers are widely used due to their efficient software packaging and deployment. Efficient management of containers is crucial in dynamic cloud environments with heterogeneous infrastructure. Deep learning techniques are being applied to optimize resource utilization in cloud environments, including mapping containers to suitable nodes for energy conservation. However, the existing works on container scheduling have limitations like inability to cope with dynamic runtime scenarios. To overcome this problem, the aim of this paper is to design and implement a framework using deep reinforcement learning techniques to improve container scheduling and load balancing. The proposed algorithm, Reinforcement Learning based Container Scheduling (RLbCS), uses an action-reward iterative approach to optimize container scheduling. Experimental results showed that RLbCS outperformed existing methods, achieving a 92% success rate in placing containers and optimizing resource utilization. The proposed method can be integrated with cloud-based systems to automatically schedule containers for resource optimization and load balancing. © The Author(s) 2024.","Cloud Computing; Container Scheduling; Container Services; Deep Reinforcement Learning; Load Balancing","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210549685"
"Rabieyan, R.; Yahyapour, R.; Jahnke, P.","Rabieyan, Reza (51261431200); Yahyapour, Ramin (15066204200); Jahnke, Patrick (57188692099)","51261431200; 15066204200; 57188692099","Optimization of containerized application deployment in virtualized environments: a novel mathematical framework for resource-efficient and energy-aware server infrastructure","2024","Journal of Supercomputing","80","15","","22598","22630","1","10.1007/s11227-024-06304-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196804753&doi=10.1007%2Fs11227-024-06304-5&partnerID=40&md5=1a5fc0fad5d144c5da54d0f26b1b5a86","This study addresses the critical need for effective resource management through software container migration in cloud data centers. It emphasizes its role in avoiding resource shortages and reducing energy consumption in cloud environments. This study introduces a novel multi-objective integer linear programming (ILP) approach for software container replacements, complemented by a specialized algorithm designed to migrate software containers between over- and underutilized hosts to enhance efficiency compared to traditional optimization methods. The simulation results demonstrate the algorithm's effectiveness, validating its potential for optimizing energy usage and resource allocation in cloud environments. Statistical analyses confirm the proposed model's and algorithm's superiority over benchmark approaches, highlighting their potential for enhancing resource management in cloud computing systems. © The Author(s) 2024.","Containerization; Software container replacement; Workload optimization","Application programs; Energy utilization; Green computing; Information management; Integer programming; Natural resources management; Power management; Resource allocation; Virtual reality; Application deployment; Cloud environments; Containerization; Mathematical frameworks; Optimisations; Resource management; Resource-efficient; Software container replacement; Virtualized environment; Workload optimizations; Containers","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85196804753"
"Falloon, M.; Ma, H.; Chen, A.","Falloon, Mathew (59374152700); Ma, Hui (55723485400); Chen, Aaron (57219511408)","59374152700; 55723485400; 57219511408","Energy-Aware Dynamic Resource Allocation and Container Migration in Cloud Servers: A Co-evolution GPHH Approach","2024","","","","","1219","1227","2","10.1145/3638529.3654070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206887253&doi=10.1145%2F3638529.3654070&partnerID=40&md5=53711712f8bbf02b3b855824f0779cb4","Containers are a popular way of deploying software in cloud data centers. Containers are allocated to Virtual machines (VMs) which are allocated to Physical machines (PMs) within the data center. Since the resources required by containers often do not match those of VMs, where to allocate them must be decided. A poor solution can result in high energy costs. Many existing methods to solve this problem use heuristics which do not consider containers leaving the data center after being allocated. Some do consider migrating containers between VMs but few do for energy efficiency reasons. These overlooked aspects may lead to increased energy usage, particularly since studies have demonstrated that many containers run for only a brief duration. In this paper, we develop a model of the container-based cloud resource allocation problem that considers the energy impact of leaving and migrating containers. We then design a new Genetic Programming Hyper-Heuristic (GPHH) algorithm to jointly evolve three heuristics for container placement, VM placement and container migration control. We utilize newly designed terminals to ensure the effectiveness of our GPHH algorithm. Experiments have been conducted with results indicating that the heuristics evolved by our GPHH algorithm can achieve better performance compared to several state-of-the-art techniques. © 2024 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","co-evolution; combinatorial optimization; genetic programming; timetabling and scheduling","Energy efficiency; Energy utilization; Heuristic programming; Resource allocation; Virtual machine; Cloud servers; Co-evolution; Datacenter; Dynamic resource allocations; Energy aware; Hyper-heuristic algorithms; Optimisations; Resource container; Timetabling; Timetabling and scheduling; Genetic programming","Conference paper","Final","","Scopus","2-s2.0-85206887253"
"Dakić, V.; Kovač, M.; Slovinac, J.","Dakić, Vedran (57213589010); Kovač, Mario (56031685500); Slovinac, Jurica (59217927000)","57213589010; 56031685500; 59217927000","Evolving High-Performance Computing Data Centers with Kubernetes, Performance Analysis, and Dynamic Workload Placement Based on Machine Learning Scheduling","2024","Electronics (Switzerland)","13","13","2651","","","19","10.3390/electronics13132651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198497070&doi=10.3390%2Felectronics13132651&partnerID=40&md5=5c962a1e8221b3eae77ab7ce0734273c","In the past twenty years, the IT industry has moved away from using physical servers for workload management to workloads consolidated via virtualization and, in the next iteration, further consolidated into containers. Later, container workloads based on Docker and Podman were orchestrated via Kubernetes or OpenShift. On the other hand, high-performance computing (HPC) environments have been lagging in this process, as much work is still needed to figure out how to apply containerization platforms for HPC. Containers have many advantages, as they tend to have less overhead while providing flexibility, modularity, and maintenance benefits. This makes them well-suited for tasks requiring a lot of computing power that are latency- or bandwidth-sensitive. But they are complex to manage, and many daily operations are based on command-line procedures that take years to master. This paper proposes a different architecture based on seamless hardware integration and a user-friendly UI (User Interface). It also offers dynamic workload placement based on real-time performance analysis and prediction and Machine Learning-based scheduling. This solves a prevalent issue in Kubernetes: the suboptimal placement of workloads without needing individual workload schedulers, as they are challenging to write and require much time to debug and test properly. It also enables us to focus on one of the key HPC issues—energy efficiency. Furthermore, the application we developed that implements this architecture helps with the Kubernetes installation process, which is fully automated, no matter which hardware platform we use—x86, ARM, and soon, RISC-V. The results we achieved using this architecture and application are very promising in two areas—the speed of workload scheduling and workload placement on a correct node. This also enables us to focus on one of the key HPC issues—energy efficiency. © 2024 by the authors.","data center architecture; dynamic performance evaluation; hardware and software integration; high-performance computing; Kubernetes","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85198497070"
"Almeida, G.; Torres do Ó, M.; Francesquini, E.; Cordeiro, D.","Almeida, Guilherme (59152013900); Torres do Ó, Marcelo (57226084964); Francesquini, Emilio (39161187900); Cordeiro, Daniel (36934640400)","59152013900; 57226084964; 39161187900; 36934640400","Reducing carbon emissions of distributed systems: a multi-objective approach","2024","","","","23","","","0","10.1145/3658321.3658364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194828685&doi=10.1145%2F3658321.3658364&partnerID=40&md5=8592d2d462c5ca76a0be5dab3920c36e","Context The growing usage of platforms for distributed computing and their workloads are requiring more energy to power data centers, and the current consumption is already high. The increasing availability of green energy sources brings opportunities to reduce carbon emissions. Problem It is hard to create software aiming for both performance (makespan) and low brown energy usage. To reduce carbon emissions on distributed platforms, developers need an easy way to program efficiently applications and achieve these objectives. Solution Using OpenMP is an easy way to create and run distributed applications. This paper proposes the use of OpenMP with a new energy-aware scheduling algorithm that aims to minimize brown energy consumption and makespan. IS theory Our multiobjective algorithm (G-MOHEFT) deals with Complexity theory to leverage the Dynamic capabilities of modern distributed platforms. The algorithm implements a heuristic for adapting and redistributing workloads accordingly to different scenarios. Method Containers were used to simulate a distributed OpenMP Cluster (OMPC) platform. Different simulations using previously measured data were used to distribute workloads in different combinations of green energy availability. Summary of Results We study the solution tradeoffs obtained using G-MOHEFT, which varies from saving none to some brown energy consumption by keeping the same or increasing the makespan in exchange. Depending on the scenario, it could even reduce the brown energy consumption to zero. Contributions and impacts to IS Developers can use our algorithm to easily develop distributed software with a reduced carbon footprint using OpenMP in OMPC. © 2024 ACM.","Distributed computing; Green energy; OpenMP; Parallel computing; Tasks scheduling","Application programming interfaces (API); Application programs; Carbon footprint; Distributed computer systems; Green computing; Power management; Scheduling algorithms; Carbon emissions; Distributed platforms; Distributed systems; Energy-consumption; Green energy; Makespan; Multi objective; Openmp; Parallel com- puting; Tasks scheduling; Energy utilization","Conference paper","Final","","Scopus","2-s2.0-85194828685"
"Natarajan, S.; Jacob, J.","Natarajan, Subash (60215218700); Jacob, Jeveen (60215384900)","60215218700; 60215384900","Multi-Cloud Handbook for Developers: Learn how to design and manage cloud-native applications in AWS, Azure, GCP, and more","2024","","","","","1","271","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023224262&partnerID=40&md5=7c7c5e67ae8a162674dac325a3a6e0a5","Unleash the power of cloud computing with Multi-Cloud Handbook for Developers, your guide to mastering the nuances of cloud-native and multi-cloud, covering practical strategies for design, development, and management. Explore the essential concepts, challenges, and methodologies critical for navigating the complex landscape of modern cloud computing. Using core architectural and design principles (such as microservices and 12-factor architecture) and advanced strategies (such as distributed application design patterns, domain-driven design (DDD), and API-first strategies), you'll learn how to build portable and efficient apps across various cloud platforms. You'll understand how to leverage Infrastructure as Code (IaC), continuous integration and deployment (CI/CD), GitOps, and DevOps practices, along with containerization and orchestration techniques using Docker and Kubernetes. You'll also get to grips with data, security, compliance, and cloud cost management strategies in multi-cloud environments. With real-world case studies, best practices, and insights into future trends, this book will equip you with the skills to develop, manage, troubleshoot, and innovate cloud-native applications across diverse cloud platforms, positioning you at the forefront of the cloud computing revolution. Who is this book for? Ideal for cloud-native and cloud developers, platform engineers, software architects, and IT professionals focused on building and managing cloud-native applications in multi-cloud environments, this book is an indispensable guide for students and researchers seeking insights into cloud-native concepts and multi-cloud architectures. A basic understanding of cloud computing, contemporary software development, system design, and cloud platforms such as AWS, Azure, and GCP, will prove useful. What you will learn • Understand the core structures and implications of cloud-native and multi-cloud apps • Explore key principles and patterns to build agile, scalable, and future-proof apps • Master cloud-native essentials: service mesh, DDD, and API-centric approaches • Implement deployment pipelines with advanced IaC, CI/CD, DevSecOps, and GitOps techniques • Manage and monitor data, security, compliance, and identity access in multi-cloud scenarios • Optimize your cloud costs with shift-left and FinOps practices • Get ready for the future of cloud-native and multi-cloud technology. © 2024 Packt Publishing. All rights reserved.","","Application programming interfaces (API); Application programs; Architectural design; Cloud computing architecture; Cloud platforms; Cloud security; Costs; DevOps; Distributed cloud; Distributed database systems; Engineers; Information management; Software architecture; Software design; Cloud environments; Cloud-computing; Continuous integrations; Design development; Domain-driven designs; Learn+; Multi-clouds; Power; Security compliance; Systems analysis","Book","Final","","Scopus","2-s2.0-105023224262"
"Bouchair, A.","Bouchair, Abderrahim (57208497250)","57208497250","Efficient Virtual Resource Management in Nested Virtualization Environments","2024","","","","","751","756","0","10.1109/3ICT64318.2024.10824265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217360369&doi=10.1109%2F3ICT64318.2024.10824265&partnerID=40&md5=dadb8fae00f9476e4348c3e3bdba1389","Effective resource management is essential for performance optimization and energy conservation in virtualized cloud systems. Nested virtualization extends traditional virtualization by allowing virtual machines (VMs) to operate inside other VMs, enabling multiple virtualization layers within a single physical server. This paper examines three policy-driven strategies for achieving energy-efficient resource allocation in nested virtualization settings. The first strategy seeks to improve energy efficiency by reducing the number of active physical hosts for VM workloads. The second strategy uses auto-scaling techniques to handle varying workload demands. The third strategy emphasizes allocating resources in a priority manner according to the demands of application performance. This approach is particularly relevant to contemporary Virtual Network Embedding (VNE) because it further increases resource isolation and utilization by incorporating containerization technologies. Using the CloudSim-SDN toolkit, empirical assessments and simulations demonstrate how effectively these policies improve performance and resource efficiency in layered virtualization environments. ©2024 IEEE.","Cloud Computing; Machine Learning; Nested Virtualization; Resource Management; Software-Defined Networking; Virtual Network Embedding","Network embeddings; Cloud-computing; Energy; Machine-learning; Management IS; Nested Virtualization; Resource management; Software-defined networkings; Virtual network embedding; Virtual resources managements; Virtualizations; Virtual environments","Conference paper","Final","","Scopus","2-s2.0-85217360369"
"Araújo, G.; Barbosa, V.; Lima, L.N.; Sabino, A.; Brito, C.; Fe, I.; Rego, P.; Choi, E.; Min, D.; Nguyen, T.A.; Silva, F.A.","Araújo, Gabriel (57221336784); Barbosa, Vandirleya (58697781300); Lima, Luiz Nelson (58481908800); Sabino, Arthur (58481308000); Brito, Carlos (57222736231); Fe, Iure De Sousa (57194271358); Rego, Paulo Antonio Leal (36022938400); Choi, Eunmi (8969714200); Min, Dugki (7201670327); Nguyen, Tuan Anh (56433780500); Silva, Francisco Airton (55817259800)","57221336784; 58697781300; 58481908800; 58481308000; 57222736231; 57194271358; 36022938400; 8969714200; 7201670327; 56433780500; 55817259800","Energy Consumption in Microservices Architectures: A Systematic Literature Review","2024","IEEE Access","12","","","186710","186729","16","10.1109/ACCESS.2024.3389064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190750888&doi=10.1109%2FACCESS.2024.3389064&partnerID=40&md5=c180332270447a395b7ce6fa19762459","Cloud computing emerges as a paradigm that facilitates on-demand access to technological resources through the mechanism of service virtualization. This virtualization enables the partitioning of hardware resources among applications that are organized into distinct independent modules. The concept of microservice architecture takes advantage of virtualization capabilities to embrace a software architecture strategy focused on the development of applications as assemblies of several interdependent but loosely coupled modules. Nonetheless, the adoption of microservices architecture is accompanied by substantial energy demands to meet the desired standards of performance and availability. Existing research within the domain of microservices has explored various topics pertinent to energy consumption, including elasticity, reliability, performance, and availability. Yet, the diversity of challenges and solutions presents a complex landscape for identifying prevailing research trends and unaddressed gaps in the context of microservices. This study aims to methodically discern, evaluate, and juxtapose the existing research trends and voids concerning energy consumption within microservices. It elucidates a systematic review on the subject of energy consumption in microservices architectures, offering a compilation of references to facilitate more directed future investigations. The initial selection encompassed 3625 articles, which were subsequently narrowed down through three stages of refinement, resulting in 37 articles chosen for an exhaustive review. These selected studies were cataloged and analyzed based on various criteria, including metrics, evaluation methodologies, and architectural typologies, thus uncovering research gaps and emerging trends related to energy consumption in microservice architectures. Furthermore, this inquiry delineates significant research challenges and prospective directions, structured around the key metrics that underpin the reviewed studies: performance, elasticity, scalability, reliability, sustainability, and availability. © 2013 IEEE.","cloud computing; container; energy consumption; Microservices; systematic mapping","Application programs; Computer architecture; Elasticity; Energy utilization; Green computing; Virtual reality; Virtualization; Cloud-computing; Energy-consumption; Microservice; Microservice architecture; Security; Systematic; Systematic mapping; Virtualizations; Cloud computing","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85190750888"
"Symeonides, M.; Tsiopani, N.; Maouris, G.; Trihinas, D.; Pallis, G.; Dikaiakos, M.D.","Symeonides, Moysis (57206469248); Tsiopani, Nicoletta (59830367400); Maouris, Georgios (57215417073); Trihinas, Demetris (56285919400); Pallis, G. (6508027505); Dikaiakos, Marios D. (6701707151)","57206469248; 59830367400; 57215417073; 56285919400; 6508027505; 6701707151","CarbonOracle: Automating Energy Mix & Renewable Energy Source Forecast Modeling for Carbon-Aware Micro Data Centers","2024","","","","","246","255","1","10.1109/UCC63386.2024.00042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004728120&doi=10.1109%2FUCC63386.2024.00042&partnerID=40&md5=e9f3571bd1af87a94ef609c78eb4eb18","Geo-distributed data centers (DCs) have a substantial impact on global electricity consumption and carbon emissions, with their energy demands expected to increase alongside emerging technologies such as Generative Artificial Intelligence (GenAI) and Natural Language Understanding (NLU). In response to environmental and operational concerns, major cloud providers are investing in DC infrastructures powered by renewable energy sources (RES). However, the design and management of energy-efficient data centers present new challenges. Current forecasting models for RES production and electricity grid energy mix are often limited in accuracy and forecasting horizon, hindering carbon-aware service management. To tackle these challenges, we introduce CarbonOracle, a Machine Learning (ML) service that automates data extraction from self-hosted RES, energy grids, and weather APIs, while also simplifying the ML training and forecast of RES production and electricity grid carbon emissions. Its application programming interface serves ML-based forecasts for RES production (e.g., solar, wind) and energy mix metrics, designed to support carbon-aware deployments, enabling integration with container schedulers and other applications. Through a comprehensive evaluation over a real data center testbed, our results show that CarbonOracle has an error rate of approximately 9% for forecasts related to self-hosted photovoltaic (PV) panels, while its forecasts for electricity grid carbon emissions have an error rate of less than 4%. © 2024 IEEE.","Data centers; Energy Modeling; Machine Learning; Sustainable Computing","Information management; Resource allocation; Software prototyping; Solar fuels; Carbon emissions; Datacenter; Electricity grids; Energy mix; Energy model; Error rate; Machine-learning; Production grids; Renewable energy source; Sustainable computing; Application programs","Conference paper","Final","","Scopus","2-s2.0-105004728120"
"Vercellino, C.; Scionti, A.; Varavallo, G.; Viviani, P.; Vitali, G.; Terzo, O.","Vercellino, Chiara (57766970100); Scionti, Alberto (25927553100); Varavallo, Giuseppe (57217285638); Viviani, Paolo (57194565548); Vitali, Giacomo (57217294605); Terzo, Olivier (27868176400)","57766970100; 25927553100; 57217285638; 57194565548; 57217294605; 27868176400","A Machine Learning Approach for an HPC Use Case: the Jobs Queuing Time Prediction","2023","Future Generation Computer Systems","143","","","215","230","16","10.1016/j.future.2023.01.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147843711&doi=10.1016%2Fj.future.2023.01.020&partnerID=40&md5=a4f2921726e470d6964ed7c03893b6a6","High-Performance Computing (HPC) domain provided the necessary tools to support the scientific and industrial advancements we all have seen during the last decades. HPC is a broad domain targeting to provide both software and hardware solutions as well as envisioning methodologies that allow achieving goals of interest, such as system performance and energy efficiency. In this context, supercomputers have been the vehicle for developing and testing the most advanced technologies since their first appearance. Unlike cloud computing resources that are provided to the end-users in an on-demand fashion in the form of virtualized resources (i.e., virtual machines and containers), supercomputers’ resources are generally served through State-of-the-Art batch schedulers (e.g., SLURM, PBS, LSF, HTCondor). As such, the users submit their computational jobs to the system, which manages their execution with the support of queues. In this regard, predicting the behaviour of the jobs in the batch scheduler queues becomes worth it. Indeed, there are many cases where a deeper knowledge of the time experienced by a job in a queue (e.g., the submission of check-pointed jobs or the submission of jobs with execution dependencies) allows exploring more effective workflow orchestration policies. In this work, we focused on applying machine learning (ML) techniques to learn from the historical data collected from the queuing system of real supercomputers, aiming at predicting the time spent on a queue by a given job. Specifically, we applied both unsupervised learning (UL) and supervised learning (SL) techniques to define the most effective features for the prediction task and the actual prediction of the queue waiting time. For this purpose, two approaches have been explored: on one side, the prediction of ranges on jobs’ queuing times (classification approach) and, on the other side, the prediction of the waiting time at the minutes level (regression approach). Experimental results highlight the strong relationship between the SL models’ performances and the way the dataset is split. At the end of the prediction step, we present the uncertainty quantification approach, i.e., a tool to associate the predictions with reliability metrics, based on variance estimation. © 2023","Automatism; Batch scheduler; High performance computing; Machine learning; Queues; Uncertainty quantification","Energy efficiency; Forecasting; Machine learning; Queueing theory; Uncertainty analysis; Automatism; Batch schedulers; Computing domain; High performance computing; Machine learning approaches; Machine-learning; Performance computing; Queue; Time predictions; Uncertainty quantifications; Supercomputers","Article","Final","","Scopus","2-s2.0-85147843711"
"Katal, A.; Dahiya, S.; Choudhury, T.","Katal, Avita (55233742600); Dahiya, Susheela (57211141928); Choudhury, Tanupriya (57193140084)","55233742600; 57211141928; 57193140084","Energy efficiency in cloud computing data centers: a survey on software technologies","2023","Cluster Computing","26","3","","1845","1875","329","10.1007/s10586-022-03713-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137223667&doi=10.1007%2Fs10586-022-03713-0&partnerID=40&md5=e59f12ec54b09fc41c0ebfec7d42e726","Cloud computing is a commercial and economic paradigm that has gained traction since 2006 and is presently the most significant technology in IT sector. From the notion of cloud computing to its energy efficiency, cloud has been the subject of much discussion. The energy consumption of data centres alone will rise from 200 TWh in 2016 to 2967 TWh in 2030. The data centres require a lot of power to provide services, which increases CO2 emissions. In this survey paper, software-based technologies that can be used for building green data centers and include power management at individual software level has been discussed. The paper discusses the energy efficiency in containers and problem-solving approaches used for reducing power consumption in data centers. Further, the paper also gives details about the impact of data centers on environment that includes the e-waste and the various standards opted by different countries for giving rating to the data centers. This article goes beyond just demonstrating new green cloud computing possibilities. Instead, it focuses the attention and resources of academia and society on a critical issue: long-term technological advancement. The article covers the new technologies that can be applied at the individual software level that includes techniques applied at virtualization level, operating system level and application level. It clearly defines different measures at each level to reduce the energy consumption that clearly adds value to the current environmental problem of pollution reduction. This article also addresses the difficulties, concerns, and needs that cloud data centres and cloud organisations must grasp, as well as some of the factors and case studies that influence green cloud usage. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Cloud Computing; Containerization; Data center; Load balancing; Workload categorization","Application programs; Containers; Electronic Waste; Energy efficiency; Energy utilization; Green computing; Surveys; Cloud-computing; CO2 emissions; Containerization; Datacenter; Energy-consumption; Green Clouds; Load-Balancing; Power; Software technology; Workload categorization; Cloud computing","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85137223667"
